id,dataset,lat,lng,size,n,final_kernel,mpll,rmse,n_restarts_optimiser,rbf_ls_init,rbf_ls_lb,rbf_ls_ub,rq_a_init,rq_a_lb,rq_a_ub,rq_ls_init,rq_ls_lb,rq_ls_ub,wk_var_mult_lb,wk_var_mult_ub,alpha_var_multiplier,logadj
30.0,landreg,51.39652,-0.0746,502.334850888,746.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
31.0,landreg,51.39652,-0.06996,374.85,790.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
32.0,landreg,51.39652,-0.06532,374.85,801.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
33.0,landreg,51.3994,-0.23236,742.17736005,740.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
34.0,landreg,51.3994,-0.22772,706.835581,788.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
35.0,landreg,51.3994,-0.22308,818.250539455,787.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
36.0,landreg,51.3994,-0.21844,1269.3751496,829.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
37.0,landreg,51.3994,-0.12564,1269.3751496,794.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
38.0,landreg,51.3994,-0.121,1208.9287139,828.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
39.0,landreg,51.3994,-0.09316,779.286228052,745.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
40.0,landreg,51.3994,-0.08852,527.451593433,889.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
41.0,landreg,51.3994,-0.08388,433.93573125,777.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
42.0,landreg,51.3994,-0.07924,393.5925,740.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
43.0,landreg,51.3994,-0.0746,502.334850888,852.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
44.0,landreg,51.3994,-0.06996,413.272125,725.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
45.0,landreg,51.3994,-0.06532,374.85,703.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
46.0,landreg,51.3994,-0.06068,641.12070839,741.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
47.0,landreg,51.40228,-0.237,947.227280737,703.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
48.0,landreg,51.40228,-0.23236,673.176743809,803.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
49.0,landreg,51.40228,-0.22772,706.835581,721.0,,,,5,70.0,1.0,1000.0,0.01,0.001,100.0,1.0,1.0,100.0,0.49,0.51,0.0,0.0
