,postcode,long,lat
0,W4 1DZ,-0.255078284638577,51.501053226134
1,SE27 9EH,-0.0975068890777692,51.4378125746843
2,NW6 5HU,-0.190415581369709,51.5363127777913
3,EC1V 7JW,-0.105323180755064,51.5312013088834
4,SW13 0PG,-0.248560636521399,51.4707415180664
5,E12 6DH,0.0560393014082015,51.5506506453414
6,NW5 1JJ,-0.141793941458489,51.5625030012959
7,SW4 6EH,-0.133371764425517,51.4644048524643
8,E6 2SF,0.0608704907384932,51.5324365594052
9,W5 4RQ,-0.303947641031792,51.4952956975161
10,SW17 7GH,-0.165917721549366,51.430405077395
11,NW6 1UH,-0.194492237411637,51.5539017869735
12,SW5 9BY,-0.193665055334637,51.4902765739155
13,E4 6SY,-0.0152199698808089,51.619457044692
14,SE3 9HA,0.0057707265501695,51.4620526829609
15,SE13 7AW,-0.0186704291113381,51.4601392327396
16,E3 3RT,-0.020102863276883,51.5178245127899
17,NW9 5AJ,-0.248652995533327,51.5990638177532
18,SE16 4QJ,-0.0663564684449483,51.4970589807667
19,N8 7JP,-0.122377943455181,51.5851785647381
20,E6 3JL,0.0470013630934425,51.5270050396718
21,SW12 8LL,-0.157583171533631,51.4466228802549
22,SW6 7JR,-0.210169951165818,51.4785786779942
23,NW2 5PG,-0.235109193809658,51.5495111015562
24,SW19 2UP,-0.180419102046792,51.4108384264834
25,SE19 1AA,-0.0860673790068524,51.420962877913
26,SE21 8BU,-0.0905739193628384,51.4315488416107
27,N7 0RB,-0.133088382647619,51.5548920691423
28,N22 5DE,-0.0933186909803455,51.5983245646525
29,W2 6NH,-0.185304504277835,51.5201643369324
30,SW4 6PP,-0.13089346982216,51.4683310934651
31,E12 6UN,0.0463035941843214,51.5477723652841
32,SW1X 0EA,-0.161432537645594,51.4944427130056
33,E1 8LZ,-0.0703060073632095,51.5089493167338
34,N14 4HJ,-0.14139571579825,51.6447589919762
35,SW19 1DJ,-0.18275724292852,51.4175112458832
36,SE6 1QX,-0.00664969071304152,51.4406549747296
37,SE10 9GD,-0.017151849397034,51.4828830948838
38,E9 7TN,-0.0485969293134184,51.5421414587099
39,NW6 3NG,-0.189938914362683,51.5414221075265
40,SE24 9NU,-0.0923833528364107,51.4554538154812
41,W9 1SF,-0.179958252748526,51.5266369894465
42,SW17 7BQ,-0.155081657154193,51.4397761452413
43,N18 1PN,-0.0773516105068323,51.6174068226219
44,W1J 7DD,-0.14869971235233,51.5047006730624
45,W8 5JA,-0.190064863888137,51.4964348603007
46,N10 2HN,-0.147250777989977,51.6050064580251
47,N10 1DU,-0.144201043470663,51.5944461792173
48,SW11 2SS,-0.169085929947531,51.4680974829007
49,SE10 8SU,-0.0108813719923972,51.4750611348112
50,W12 7JD,-0.227487245112072,51.5058730258806
51,NW1 5AB,-0.159475070026296,51.5226484277742
52,SW6 4EQ,-0.205301531699284,51.474565549404
53,SE19 3QU,-0.0972720313541993,51.4195716214529
54,SE22 8UL,-0.0790566260951903,51.4506049579498
55,W5 3ER,-0.285595847637761,51.5263491908719
56,N11 2JT,-0.130827033997231,51.6107349699092
57,SE19 2JA,-0.0737548451541696,51.412424887915
58,N5 1ND,-0.104924858753329,51.5539818875504
59,E8 1NL,-0.0675228499686321,51.5481470654184
60,N20 9LL,-0.177223767023232,51.6318502559467
61,E16 1AP,0.0206801268025179,51.5078754050897
62,SE7 7NL,0.0281752708672157,51.4845447612529
63,N6 5BN,-0.142035566630926,51.5739182201941
64,NW2 4HB,-0.218336334946219,51.5498420752954
65,NW6 6AH,-0.194654403699167,51.5370525238295
66,N14 5QP,-0.132191687812148,51.6380035538891
67,SW15 2EL,-0.213085311584477,51.4563037888509
68,SW19 2EN,-0.167037224598982,51.4196854287015
69,SW13 9QX,-0.231455216911423,51.4867520820015
70,NW6 2DT,-0.200191701065135,51.5472810414454
71,E8 1EP,-0.0564941012171448,51.5463372084957
72,SE5 9RY,-0.0952842739863424,51.469097844132
73,SE16 4XB,-0.0667262913228533,51.4992143133986
74,SW15 3EL,-0.245167356636406,51.4372118000149
75,SW17 0TX,-0.180815742619437,51.4301876453261
76,NW3 2JY,-0.154757533717406,51.5548302387867
77,SE9 1HU,0.059135405409019,51.4514511133438
78,NW11 0DR,-0.20129036855485,51.5856053628802
79,W4 1BN,-0.261323502903489,51.4989878117728
80,N4 1HZ,-0.094521263204349,51.5785606920449
81,E3 4XP,-0.0238190929413877,51.5245417420523
82,SE8 5QW,-0.0283072603766151,51.4823698008049
83,SW19 3JY,-0.199014226405373,51.4034640095462
84,SW11 5NS,-0.153933460998234,51.4639660813988
85,E14 9NS,-0.00755795196802181,51.5024144411522
86,W3 6BY,-0.269581251905946,51.5084350493846
87,SE8 3EX,-0.0196832980963402,51.4832945810549
88,SE26 5DN,-0.0476107016240718,51.4235748482854
89,SE8 5BJ,-0.0382385522795187,51.4855399487252
90,SW17 7HG,-0.165509270493916,51.4384470504157
91,E11 1UR,0.0258521141883867,51.5838191220473
92,NW2 2NP,-0.202378831296344,51.5635098492534
93,SE24 9JL,-0.0907612888761309,51.4543123188989
94,E1 3FB,-0.0507687253903079,51.5206762930895
95,SE27 9QH,-0.0952835849746052,51.4289996189709
96,SW17 9PU,-0.153969683129317,51.4273848170333
97,SW8 4NP,-0.148230576748118,51.4789476600877
98,N12 9NE,-0.165323677178945,51.6130687455505
99,SE9 4AB,0.0468545440964167,51.4285186767169
100,E4 9JR,-0.00430427553503387,51.6045152030853
101,SW18 3HT,-0.175052706700228,51.4498996856386
102,W8 6PE,-0.197777659020404,51.4963018635882
