postcode,dataset,n,logadj,n_restarts_optimiser,rbf_ls_init,rbf_ls_lb,rbf_ls_ub,rq_a_init,rq_a_lb,rq_a_ub,rq_ls_init,rq_ls_lb,rq_ls_ub,wk_var_mult_lb,wk_var_mult_ub,alpha_var_multiplier
E7,landreg,7896.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E6,landreg,14488.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E1,landreg,13066.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E3,landreg,12426.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E2,landreg,8959.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW4,landreg,7098.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW5,landreg,5115.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW6,landreg,16775.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW7,landreg,6675.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW1,landreg,11406.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW2,landreg,12960.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW3,landreg,14775.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW8,landreg,9047.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
NW9,landreg,11607.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N12,landreg,6841.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N13,landreg,6884.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N10,landreg,7125.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N11,landreg,7163.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N16,landreg,11027.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1P,landreg,4446.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N14,landreg,6413.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N15,landreg,6852.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N18,landreg,5517.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N19,landreg,6457.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1Y,landreg,314.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1X,landreg,3090.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1E,landreg,394.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1A,landreg,215.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1H,landreg,575.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE19,landreg,8895.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE18,landreg,15721.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC3N,landreg,226.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE13,landreg,12767.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE12,landreg,7020.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE11,landreg,3551.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE10,landreg,9243.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE17,landreg,3643.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE16,landreg,12933.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE15,landreg,11091.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE14,landreg,5384.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE7,landreg,4094.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE6,landreg,12169.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE5,landreg,8421.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE4,landreg,6912.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE3,landreg,9771.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE2,landreg,4653.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE1,landreg,19547.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1W,landreg,2812.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE9,landreg,14120.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE8,landreg,6037.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N8,landreg,10296.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N9,landreg,10101.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SW1V,landreg,6052.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N1,landreg,19965.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N2,landreg,5860.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N3,landreg,6183.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N4,landreg,10156.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N5,landreg,6837.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N6,landreg,6046.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
N7,landreg,9510.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE26,landreg,7834.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE27,landreg,5526.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE24,landreg,4829.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE25,landreg,10687.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE22,landreg,9560.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE23,landreg,9862.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE20,landreg,6899.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE21,landreg,3829.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC1R,landreg,1285.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC1V,landreg,3422.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
SE28,landreg,8629.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC1N,landreg,538.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC1M,landreg,946.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC1A,landreg,738.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
EC3A,landreg,56.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E18,landreg,6118.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E11,landreg,12936.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E10,landreg,8432.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E13,landreg,7324.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
E12,landreg,6174.0,0.0,3,70,0.1,1000,0.01,0.01,100,0.1,0.01,100,0.49,0.51,0.0
